GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fcrepo Camel Component,org.fcrepo.camel,FcrepoConstants,3,0,0,0,2,0,1,0,1,0
Fcrepo Camel Component,org.fcrepo.camel,FcrepoHttpClientBuilder,47,22,5,1,10,8,3,3,0,3
Fcrepo Camel Component,org.fcrepo.camel,FcrepoClient,39,419,7,37,10,94,7,29,0,14
Fcrepo Camel Component,org.fcrepo.camel,FcrepoLink,6,93,9,9,3,20,9,6,0,6
Fcrepo Camel Component,org.fcrepo.camel,FcrepoProducer,39,617,10,70,3,132,8,50,0,16
Fcrepo Camel Component,org.fcrepo.camel,FcrepoComponent,50,36,3,1,19,10,10,4,8,4
Fcrepo Camel Component,org.fcrepo.camel,FcrepoResponse,3,50,0,0,1,21,1,10,1,10
Fcrepo Camel Component,org.fcrepo.camel,FcrepoProducer.new Object() {...},6,41,0,0,0,1,0,1,0,1
Fcrepo Camel Component,org.fcrepo.camel,FcrepoProducer.new TransactionCallbackWithoutResult() {...},0,32,0,0,0,8,0,2,0,2
Fcrepo Camel Component,org.fcrepo.camel,FcrepoEndpoint,48,206,3,5,13,59,9,31,6,30
Fcrepo Camel Component,org.fcrepo.camel,FcrepoTransactionManager,59,160,3,5,14,38,7,12,4,11
Fcrepo Camel Component,org.fcrepo.camel,FcrepoTransactionObject,0,10,0,0,0,4,0,3,0,3
Fcrepo Camel Component,org.fcrepo.camel,FcrepoConfiguration,29,134,0,0,12,53,6,24,6,24
Fcrepo Camel Component,org.fcrepo.camel,FcrepoHeaders,3,0,0,0,2,0,1,0,1,0
Fcrepo Camel Component,org.fcrepo.camel,JmsHeaders,3,0,0,0,2,0,1,0,1,0
Fcrepo Camel Component,org.fcrepo.camel,RdfNamespaces,3,22,0,0,2,7,1,1,1,1
Fcrepo Camel Component,org.fcrepo.camel,HttpMethods,11,116,0,0,2,13,1,4,1,4
Fcrepo Camel Component,org.fcrepo.camel,FcrepoOperationFailedException,10,32,1,1,3,5,4,1,3,1
Fcrepo Camel Component,org.fcrepo.camel.processor,SparqlDeleteProcessor,0,56,0,0,0,12,0,2,0,2
Fcrepo Camel Component,org.fcrepo.camel.processor,ProcessorUtils,31,144,5,13,6,32,5,9,1,4
Fcrepo Camel Component,org.fcrepo.camel.processor,SparqlInsertProcessor,0,90,0,2,0,18,0,3,0,2
Fcrepo Camel Component,org.fcrepo.camel.processor,SparqlDescribeProcessor,0,39,0,0,0,8,0,2,0,2
Fcrepo Camel Component,org.fcrepo.camel.processor,SparqlUpdateProcessor,2,112,1,1,0,22,1,2,0,2
